Report Date,label,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,Max Residual
Fri 01 Apr 2022,R1_M20_6468A,0.012707189,0.016214907,0.019849077,0.04952438,0.007576227,0.010229349,0.05343297,0.015274346,0.014309898,0.013790026,0.004879117,0.011816233,0.070744276,0.041108638,0.057300836,0.014388919,0.00060510635,0.004241109,0.012669802,0.12847134,0.021469206,0.02503559,0.015124142,0.011386454,0.0035785735,0.0040078163,0.00096037984,0.029347062,0.020000696,0.04050836,0.00075647235,0.037485808,0.010382682,0.028305411,0.025951833,0.009712338,0.02504167,0.038039982,0.02778107,0.006204933,0.0031196773,0.0010645092,0.00660789,0.019168645,0.005041629,0.016572177,0.01244846,0.012667239,0.028986841,0.014261723,0.0059945583,0.03479266,0.0099416375,0.06706172,0.017046928,0.008005977,0.015746832,0.009789407,0.06829804,0.015920103,0.0041853786,0.00820291,0.025280416,0.015707552,0.00076931715,0.0012280345,0.032998502,0.016836941,0.016875625,0.042069376,0.024447799,0.030091941,0.037723243,0.00840199,0.0069869757,0.04469815,0.013247967,0.01773125,0.008682489,0.006469846,0.011402845,0.019188508,0.03756672,0.0012621582,0.029326886,0.028998762,0.015161395,0.033052415,0.035940498,0.03546524,0.051639497,0.008447081,0.011396289,0.04353869,0.021537155,0.00492391,0.12847134
Fri 01 Apr 2022,R1_M20_6477A,0.01530613,0.031081304,0.0046742707,0.020627677,0.027758628,0.019943237,0.05872065,0.021576822,0.006161809,0.013691589,0.021283329,0.02512613,0.07191223,0.031282455,0.06201148,0.027662486,0.017881155,0.007727295,0.016263902,0.111255676,0.01411283,0.020318419,0.012730882,0.006644711,0.0010009706,0.0010721087,0.0044540763,0.034221172,0.030719161,0.042043477,0.0040817857,0.03890595,0.0140480995,0.02900052,0.034953505,0.006268412,0.0048936605,0.047308654,0.03666106,0.0065743923,0.013092399,0.0075775683,0.011267513,0.021633744,0.013769448,0.030668259,0.012826115,0.023800313,0.033847064,0.0006893277,0.0107572675,0.03530562,0.008480966,0.074641764,0.022238612,0.031923592,0.037845194,0.013454139,0.048953235,0.020519674,0.0125053525,0.0084350705,0.015238464,0.007479608,0.01210171,0.002341807,0.03479433,0.0055207014,0.0042732954,0.049120307,0.030082643,0.021441758,0.04836881,0.010273606,0.00903824,0.029449672,0.023700595,0.00042185187,0.015571326,0.0033975244,0.012738973,0.024264634,0.037645876,0.007972926,0.020788759,0.017080486,0.0067760646,0.030906081,0.028805703,0.033710465,0.05393225,0.0055194795,0.010986596,0.041580558,0.039840728,0.020971298,0.111255676
Fri 01 Apr 2022,R1_M25_4094A,0.020304335,0.0067893006,0.029110571,0.0016412293,0.014478801,0.010906801,0.0027233176,0.014854711,0.0028651499,0.051854953,0.029253393,0.003944926,0.04434854,0.035888247,0.01789862,0.100387454,0.023597479,0.03193581,0.064053595,0.081918,0.01325345,0.030849516,0.014583647,0.013935208,0.023338258,0.0127004385,0.023448408,0.04452753,0.005962372,0.013582945,0.024812043,0.023092628,0.029627621,0.049785197,0.023041785,0.07897848,0.10558754,0.043311417,0.003939748,0.00542289,0.029850304,0.036431253,0.006180644,0.020061672,0.037680507,0.03299135,0.0010344386,0.014822483,0.007987499,0.00065910816,0.019414663,0.02769208,0.001321435,0.00092077255,0.022784054,0.0005863309,0.045675993,0.027063727,0.06079513,0.008642554,0.049620867,0.07392967,0.011418223,0.037727654,0.040252745,0.0178985,0.02515918,0.0065621138,0.016987741,0.012228131,0.06556302,0.013679445,0.0066789985,0.037335128,0.0045628846,0.043838978,0.047014236,0.02669987,0.013688505,0.03961435,0.025384963,0.021973431,0.019108534,0.011449724,0.0063228905,0.010044366,0.035189092,0.039182752,0.028295755,0.024756938,0.0029679835,0.009932756,0.020576924,0.01909481,0.0035784096,0.030669034,0.10558754
Fri 01 Apr 2022,R2_A2_8362A,0.0039156973,0.013310403,0.0092534125,0.027612776,0.031407744,0.07382044,0.05624205,0.058975488,0.047397494,0.020943463,0.02694863,0.03103143,0.041326582,0.077891946,0.12956935,0.054490745,0.049726784,0.0016709566,0.03540367,0.0052711964,0.009850979,0.008820385,0.002501905,0.01787746,0.017772824,0.030607045,0.05194357,0.0256491,0.0014132857,0.008302748,0.014750123,0.021620035,0.029400826,0.020392597,0.011958957,0.046171248,0.075812995,0.0019043684,0.022505164,0.018689632,0.017770529,0.010050654,0.024254978,0.04080248,0.0027720928,0.0501464,0.048642755,0.058928847,0.022723317,0.108041644,0.27428824,0.24908483,0.051476598,0.024036705,0.026399374,0.0104779005,0.018709779,0.034627616,0.007228911,0.028142452,0.009833574,0.023935318,0.024182796,0.020333588,0.03090024,0.03838855,0.022651553,0.027640283,0.027175069,0.0070075393,0.042385995,0.029039204,0.027677298,0.0031157732,0.0059509873,0.055687845,0.064569175,0.07869959,0.0131774545,0.02668035,0.037680328,0.031026423,0.02156961,0.035561025,0.046577573,0.0003222227,0.010287464,0.016303718,0.055630803,0.027665198,0.06861502,0.0034888983,0.055300117,0.036209643,0.039953172,0.020013154,0.27428824
Fri 01 Apr 2022,R2_A2_8380A,0.008812934,0.023297131,0.0040162206,0.008913189,0.00512892,0.06396487,0.071995914,0.065075845,0.032145083,0.009539366,0.043118477,0.005750239,0.05024165,0.061275244,0.12824136,0.052697986,0.0022554994,0.0061214864,0.010498345,0.00024944544,0.0039129555,0.011787146,0.005797595,0.0038397312,0.018499613,0.0192343,0.050807863,0.024927765,0.005441606,0.007389784,0.01093787,0.0075057745,0.058669686,0.01755619,0.02148807,0.0023261905,0.03820002,0.020622015,0.01980859,0.006559372,0.0117583275,0.0047019124,0.031213164,0.03274268,0.0004413724,0.024096668,0.032750428,0.038535476,0.027845263,0.06349099,0.29754514,0.23118025,0.029557407,0.029888451,0.0042615533,0.024895549,0.025027812,0.04747343,0.017398715,0.02437824,0.028602958,0.0093387365,0.010222673,0.009801209,0.028714895,0.024222374,0.011270642,0.025101483,0.028603435,0.00018590689,0.048723996,0.011441648,0.028355002,0.0404011,0.016319811,0.014546573,0.06933749,0.11210674,0.009751797,0.036963224,0.03507632,0.027371883,0.01796621,0.007751167,0.015891612,0.02697599,0.00028055906,0.018034875,0.06627756,0.048084825,0.040680587,0.0015544891,0.03458202,0.041151166,0.038267434,0.0055754185,0.29754514
Fri 01 Apr 2022,R2_M2_8431J,0.000665769,0.0005633086,0.019813344,0.00014020503,0.014732823,0.0068332255,0.014457479,0.0011706501,0.028972685,0.010900274,0.0554682,0.045212686,0.009615794,0.010297075,0.012269616,0.010059409,0.010909788,0.0091722235,0.011337489,0.0113094,0.03887792,0.011516221,7.69645e-05,0.006748803,0.0068771765,0.0033619404,0.0053952932,0.00078605115,0.012288794,0.018754736,0.017277211,0.020893425,0.0069588125,0.014774084,0.0031677186,0.008849457,0.01690194,0.0106844455,0.014120072,0.0073093623,0.022601306,0.008260444,0.0047184825,0.0071498305,0.0008957535,0.009497389,0.0014466941,0.02848278,0.01978746,0.0110411495,0.11580185,0.07558048,0.051887125,0.003015399,0.004795581,0.007138133,0.019187242,0.016924411,0.007830292,0.015494436,0.006552279,0.0021021366,0.00070282817,0.008048296,0.00033688545,0.022093982,0.011031061,0.018915176,0.002641946,0.016652226,0.004579872,0.01796624,0.005104035,0.013443366,0.0056875795,0.009632096,0.025830686,0.020138457,0.00252074,0.016221851,0.012485176,0.009202555,0.0080626905,0.016281992,0.0072124302,0.01612471,0.014115185,0.018093944,0.0052069873,0.014277756,0.008682519,0.00094237924,0.002471909,0.019788608,0.019502088,0.008612916,0.11580185
Fri 01 Apr 2022,R3_5889_1,0.0043960065,0.0021249354,0.0072298255,0.007911233,0.00021369196,0.0030921735,0.01025375,0.0046112873,0.024272494,0.010932874,0.00052535534,0.002970308,0.025144733,0.011564415,0.013633627,0.010459438,0.016118843,0.012175549,0.0067354143,0.006768178,0.0024199318,0.008702212,0.014594749,0.002128574,0.0044302694,0.004656023,0.0022013877,0.019401133,0.00058198255,0.004506957,0.0011760145,0.0026874281,0.0139488485,0.020184718,0.003617201,0.0017984249,0.006148688,0.001776157,0.01134117,0.012274529,0.015034954,0.015342765,0.012976268,0.010478855,0.008284317,0.0028533274,0.0028485386,0.0129666105,0.005586383,0.006016778,0.009029443,0.011204481,0.009264786,0.015766071,0.014224169,0.004833284,0.006117125,0.006517345,0.0044405228,0.015977697,0.011264067,0.0010018433,0.014231246,0.0027229534,0.00821328,0.013799554,0.018944424,0.007843861,0.009910481,0.0038761348,0.0102419555,0.008231,0.013706305,0.0019973193,0.008637672,0.00908475,0.020299219,0.013764679,0.005444873,0.0030175857,0.0125248,0.0015940499,0.013349744,0.0070922337,0.024193713,0.007706538,0.008612689,0.003391143,0.006574508,0.012173768,0.022513092,0.025530748,0.044549014,0.01417407,0.09757865,0.042507112,0.09757865
Fri 01 Apr 2022,R3_M20_6576A,0.006913185,0.016322881,0.013529986,0.0027804226,0.005036399,0.039822936,0.055651426,0.05183816,0.0060034394,0.0004567802,0.025380135,0.002496332,0.0078442395,0.01459685,0.04392296,0.0055728555,0.026845694,0.01090619,0.018201858,0.0700044,0.061216176,0.02694127,0.050191894,0.004392937,0.020183742,0.009775698,0.0049263835,9.474158e-05,0.011867821,0.03464657,0.028516293,0.014472365,0.016912103,0.028499663,0.051521063,0.027638733,0.0077006817,0.02209568,0.029073,0.027520359,0.015224099,0.01677984,0.015919209,0.017212927,0.008689493,0.03639555,0.018603683,0.03591937,0.008936465,0.0119300485,0.02282852,0.0150312185,0.00048404932,0.04777366,0.008378148,0.028226852,0.12473786,0.018402457,0.0566957,0.0752238,0.09195709,0.0006764233,0.04390222,0.052820563,0.0026839375,0.024194151,0.0022273362,0.03755021,0.03526038,0.036114752,0.02722156,0.01778239,0.033690393,0.007667303,0.024690717,0.048574626,0.0071714222,0.03224325,0.03117463,0.0077540576,0.020536065,0.015182301,0.021744251,0.008484244,0.0026847422,0.01652214,0.012713581,0.042336136,0.055859476,0.010228574,0.009991676,0.038262576,0.04401648,0.014881223,0.0010982156,0.003301084,0.12473786
Fri 01 Apr 2022,R4_M2_8545A,0.008194357,0.016718537,0.012996793,0.0070325807,0.023101278,0.0022678375,0.010154262,0.035584733,0.0058871955,0.013204902,0.022657588,0.01857689,0.042971104,0.007531464,0.024551243,0.033681333,0.02083829,0.026979357,0.008749962,0.016159475,0.0076216757,0.010905817,0.020071387,0.023019388,0.0024271011,0.00025181472,0.014126301,0.029077739,0.011775017,0.008461326,0.010067672,0.0068736672,0.0005672872,0.046770364,0.011198163,0.01628378,0.009970844,0.023373902,0.0007584691,0.0017331243,0.0060173273,0.007449001,0.0067709684,0.029203415,0.0068742037,0.01720509,0.049251825,0.009436876,0.008508712,0.021656215,0.07339379,0.032455176,0.07569146,0.0131881535,0.015641183,0.030315787,0.012910694,0.026006818,0.046647847,0.019858956,0.05674824,0.0165295,0.021908998,0.04298997,0.026998043,0.01608038,0.12722388,0.07190356,0.017350644,0.023009777,0.06460923,0.08358082,0.06965181,0.038951457,0.0070263743,0.01306501,0.010307133,0.057759702,0.014199436,0.039120227,0.014528215,0.00013369322,0.022112042,0.0074533224,0.02173236,0.02311027,0.029389054,0.021729201,0.017337203,0.026191384,0.0255993,0.030508578,0.042587206,0.060520902,0.044756353,0.032446653,0.12722388
Fri 01 Apr 2022,R4_M2_8565A,0.0068769604,0.007919431,0.01676032,0.001538232,0.02209168,0.010272503,0.024489254,0.017130777,0.014504015,0.02032584,0.010425672,0.0071160793,0.043176442,0.007437542,0.03346002,0.035140157,0.011594325,0.0051622987,0.0026120245,0.016738564,0.012181982,0.02056013,0.010781556,0.016516194,0.0014650375,0.01260601,0.014110148,0.020541519,0.003644973,0.023150146,0.016747445,0.006043017,0.010966271,0.035405606,0.019595802,0.034835845,0.013284355,0.031008124,0.0037826896,0.004928082,0.0075285435,0.0020477772,0.0033059418,0.032269657,0.009255081,0.012034953,0.05567333,0.0137939155,0.0053884983,0.032636613,0.056347817,0.062175214,0.08452058,0.019371152,0.0042713284,0.044999063,0.000520885,0.0075763464,0.04572624,0.020553172,0.06167209,0.0088875,0.013968945,0.04828036,0.043242574,0.055880845,0.079521954,0.04630974,0.09013,0.007886082,0.0099339485,0.067839086,0.11516014,0.05247864,0.023489624,0.02113223,0.0011807978,0.045476496,0.034181684,0.045784116,0.007732123,0.0013411641,0.031186402,0.0050816834,0.030706853,0.017337382,0.03049925,0.065295994,0.035134137,0.033508927,0.017981172,0.02667728,0.03197898,0.052988306,0.02419281,0.051273793,0.11516014
Fri 01 Jul 2022,R1_M20_6468A,0.027428329,0.036631882,0.014557123,0.034281433,0.0055204034,0.025866479,0.025056645,0.009674251,0.007404804,0.015592933,0.04385914,0.025942385,0.04134983,0.0038167834,0.009591579,0.007529676,0.000312984,0.017973542,0.0169743,0.0033090413,0.014371872,0.0013153255,0.012908414,0.013481423,0.01766862,0.013632745,0.04398629,0.0014205575,0.005922973,0.012672007,0.016288936,0.012924314,0.00131917,0.007311493,0.002715975,0.020103216,0.022899508,0.02604726,0.021398544,0.023326814,0.0031317174,0.024226665,0.014720082,0.052860767,0.0011837184,0.110906005,0.04596728,0.051810205,0.29462433,0.007161677,0.048472524,0.008211613,0.0664013,0.0039480925,0.021568716,0.006752014,0.03872466,0.02264446,0.031318188,0.010983288,0.01806575,0.03737098,0.006880343,0.048481166,0.041272342,0.016870081,0.0008711815,0.011830747,0.007881761,0.004670441,0.049914777,0.052180827,0.040899456,0.041235566,0.07789573,0.03329897,0.05042827,0.0491378,0.03321764,0.023603767,0.02282539,0.01643908,0.014920056,0.028957963,0.032646894,0.01088962,0.0122718215,0.030328423,0.030989617,0.017916918,0.014267981,0.022499233,0.0045413077,0.047566205,0.013426125,0.0008851588,0.29462433
