,Report Date,label,Max Residual
104,Fri 07 Oct 2022,R1_M20_6477A,0.10431412
105,Fri 07 Oct 2022,R1_M25_4094A,0.12509018
106,Fri 07 Oct 2022,R2_M2_8431J,0.04154405
107,Fri 07 Oct 2022,R3_5889_1,0.045196444
108,Fri 07 Oct 2022,R3_M20_6576A,0.07540423
109,Fri 07 Oct 2022,R4_M2_8545A,0.118812084
110,Fri 07 Oct 2022,R4_M2_8565A,0.11281514
111,Fri 08 Apr 2022,R1_M20_6468A,0.11821711
112,Fri 08 Apr 2022,R1_M20_6477A,0.094701916
113,Fri 08 Apr 2022,R1_M25_4094A,0.10333294
114,Fri 08 Apr 2022,R2_A2_8362A,0.110433996
115,Fri 08 Apr 2022,R2_A2_8380A,0.1214273
116,Fri 08 Apr 2022,R2_M2_8431J,0.07179566
117,Fri 08 Apr 2022,R3_5889_1,0.06750098
118,Fri 08 Apr 2022,R3_M20_6576A,0.08081992
119,Fri 08 Apr 2022,R4_M2_8545A,0.089362085
120,Fri 08 Apr 2022,R4_M2_8565A,0.0812237
121,Fri 08 Jul 2022,R1_M20_6468A,0.07856572
122,Fri 08 Jul 2022,R1_M20_6477A,0.07183814
123,Fri 08 Jul 2022,R1_M25_4094A,0.27581894
124,Fri 08 Jul 2022,R2_A2_8362A,0.10988718
125,Fri 08 Jul 2022,R2_A2_8380A,0.10545474
126,Fri 08 Jul 2022,R2_M2_8431J,0.044340163
127,Fri 08 Jul 2022,R3_5889_1,0.040904
128,Fri 08 Jul 2022,R3_M20_6576A,0.235237
129,Fri 08 Jul 2022,R4_M2_8545A,0.060602218
130,Fri 08 Jul 2022,R4_M2_8565A,0.06467587
131,Fri 09 Dec 2022,R1_M20_6468A,0.2465921
132,Fri 09 Dec 2022,R1_M20_6477A,0.23515844
133,Fri 09 Dec 2022,R1_M25_4094A,0.17312345
134,Fri 09 Dec 2022,R2_M2_8431J,0.037343487
135,Fri 09 Dec 2022,R3_5889_1,0.03916695
136,Fri 09 Dec 2022,R3_M20_6576A,0.08803475
137,Fri 09 Dec 2022,R4_M2_8545A,0.059010133
138,Fri 09 Dec 2022,R4_M2_8565A,0.0580218
139,Fri 09 Sep 2022,R1_M20_6468A,0.08530486
140,Fri 09 Sep 2022,R1_M20_6477A,0.09756687
141,Fri 09 Sep 2022,R1_M25_4094A,0.23137075
142,Fri 09 Sep 2022,R2_A2_8362A,0.068513274
143,Fri 09 Sep 2022,R2_A2_8380A,0.071795225
144,Fri 09 Sep 2022,R2_M2_8431J,0.08015567
145,Fri 09 Sep 2022,R3_5889_1,0.034089036
146,Fri 09 Sep 2022,R3_M20_6576A,0.07552168
147,Fri 09 Sep 2022,R4_M2_8545A,0.049265087
148,Fri 09 Sep 2022,R4_M2_8565A,0.054015398
149,Fri 10 Jun 2022,R3_5889_1,0.031465575
150,Fri 11 Feb 2022,R1_M20_6468A,0.0918625
151,Fri 11 Feb 2022,R1_M20_6477A,0.14059919
152,Fri 11 Feb 2022,R1_M25_4094A,0.21271873
153,Fri 11 Feb 2022,R2_A2_8362A,0.1734029
154,Fri 11 Feb 2022,R2_A2_8380A,0.14380407
155,Fri 11 Feb 2022,R2_M2_8431J,0.05389367
156,Fri 11 Feb 2022,R3_5889_1,0.045332134
157,Fri 11 Feb 2022,R3_M20_6576A,0.07653695
158,Fri 11 Feb 2022,R4_M2_8545A,0.080245376
159,Fri 11 Feb 2022,R4_M2_8565A,0.07892704
160,Fri 11 Mar 2022,R1_M20_6468A,0.1802373
161,Fri 11 Mar 2022,R1_M20_6477A,0.1791752
162,Fri 11 Mar 2022,R1_M25_4094A,0.16033167
163,Fri 11 Mar 2022,R2_A2_8362A,0.11519414
164,Fri 11 Mar 2022,R2_A2_8380A,0.10583544
165,Fri 11 Mar 2022,R2_M2_8431J,0.053810477
166,Fri 11 Mar 2022,R3_5889_1,0.04466778
167,Fri 11 Mar 2022,R3_M20_6576A,0.13838294
168,Fri 11 Mar 2022,R4_M2_8545A,0.06794095
169,Fri 11 Mar 2022,R4_M2_8565A,0.075096756
170,Fri 11 Nov 2022,R1_M20_6468A,0.1560784
171,Fri 11 Nov 2022,R3_5889_1,0.027991265
172,Fri 11 Nov 2022,R3_M20_6576A,0.10518801
173,Fri 11 Nov 2022,R4_M2_8545A,0.070155784
174,Fri 12 Aug 2022,R1_M20_6468A,0.24025175
175,Fri 12 Aug 2022,R1_M20_6477A,0.2267327
176,Fri 12 Aug 2022,R1_M25_4094A,0.11662078
177,Fri 12 Aug 2022,R2_A2_8362A,0.10245246
178,Fri 12 Aug 2022,R2_A2_8380A,0.080568075
179,Fri 12 Aug 2022,R2_M2_8431J,0.028502926
180,Fri 12 Aug 2022,R3_5889_1,0.039925605
181,Fri 12 Aug 2022,R3_M20_6576A,0.1099661
182,Fri 12 Aug 2022,R4_M2_8545A,0.06365341
183,Fri 12 Aug 2022,R4_M2_8565A,0.05742231
184,Fri 13 May 2022,R1_M20_6468A,0.1232332
185,Fri 13 May 2022,R1_M20_6477A,0.103975475
186,Fri 13 May 2022,R1_M25_4094A,0.10225457
187,Fri 13 May 2022,R2_A2_8362A,0.15384322
188,Fri 13 May 2022,R2_A2_8380A,0.13999951
189,Fri 13 May 2022,R2_M2_8431J,0.06466752
190,Fri 13 May 2022,R3_5889_1,0.02920815
191,Fri 13 May 2022,R3_M20_6576A,0.06295788
192,Fri 13 May 2022,R4_M2_8545A,0.1509275
193,Fri 13 May 2022,R4_M2_8565A,0.10197817
194,Fri 14 Jan 2022,R1_M20_6468A,0.071715534
195,Fri 14 Jan 2022,R1_M20_6477A,0.06733772
196,Fri 14 Jan 2022,R1_M25_4094A,0.09697008
197,Fri 14 Jan 2022,R2_A2_8362A,0.1232996
198,Fri 14 Jan 2022,R2_A2_8380A,0.10224059
199,Fri 14 Jan 2022,R2_M2_8431J,0.054691866
200,Fri 14 Jan 2022,R3_5889_1,0.030291393
201,Fri 14 Jan 2022,R3_M20_6576A,0.069963634
202,Fri 14 Jan 2022,R4_M2_8565A,0.046497136
203,Fri 14 Oct 2022,R1_M20_6468A,0.25494242
204,Fri 14 Oct 2022,R1_M20_6477A,0.24067509
205,Fri 14 Oct 2022,R2_M2_8431J,0.05004541
206,Fri 14 Oct 2022,R3_5889_1,0.03900902
207,Fri 14 Oct 2022,R3_M20_6576A,0.11941457
208,Fri 14 Oct 2022,R4_M2_8545A,0.046791703
209,Fri 14 Oct 2022,R4_M2_8565A,0.04678884
210,Fri 15 Apr 2022,R1_M20_6468A,0.07667059
211,Fri 15 Apr 2022,R1_M20_6477A,0.08003926
212,Fri 15 Apr 2022,R1_M25_4094A,0.12950745
213,Fri 15 Apr 2022,R2_A2_8362A,0.09307033
214,Fri 15 Apr 2022,R2_A2_8380A,0.0838753
215,Fri 15 Apr 2022,R2_M2_8431J,0.029733963
216,Fri 15 Apr 2022,R3_5889_1,0.06823679
217,Fri 15 Apr 2022,R3_M20_6576A,0.085737765
218,Fri 15 Apr 2022,R4_M2_8545A,0.06790042
219,Fri 15 Apr 2022,R4_M2_8565A,0.056523412
220,Fri 15 Jul 2022,R1_M20_6468A,0.0878911
221,Fri 15 Jul 2022,R1_M20_6477A,0.078051835
222,Fri 15 Jul 2022,R1_M25_4094A,0.17088836
223,Fri 15 Jul 2022,R2_A2_8362A,0.08471367
224,Fri 15 Jul 2022,R2_A2_8380A,0.10143459
225,Fri 15 Jul 2022,R2_M2_8431J,0.04857868
226,Fri 15 Jul 2022,R3_5889_1,0.031574816
227,Fri 15 Jul 2022,R3_M20_6576A,0.06738877
228,Fri 15 Jul 2022,R4_M2_8545A,0.076692045
229,Fri 15 Jul 2022,R4_M2_8565A,0.06318766
230,Fri 16 Dec 2022,R1_M20_6468A,0.104071975
231,Fri 16 Dec 2022,R1_M20_6477A,0.105000556
232,Fri 16 Dec 2022,R1_M25_4094A,0.25816473
233,Fri 16 Dec 2022,R2_M2_8431J,0.040539384
234,Fri 16 Dec 2022,R3_5889_1,0.031953134
235,Fri 16 Dec 2022,R3_M20_6576A,0.07569748
236,Fri 16 Dec 2022,R4_M2_8545A,0.06986022
237,Fri 16 Dec 2022,R4_M2_8565A,0.06520942
238,Fri 16 Sep 2022,R1_M20_6468A,0.118605316
239,Fri 16 Sep 2022,R1_M20_6477A,0.09819245
240,Fri 16 Sep 2022,R1_M25_4094A,0.21838936
241,Fri 16 Sep 2022,R2_M2_8431J,0.06845561
242,Fri 16 Sep 2022,R3_5889_1,0.04815185
243,Fri 16 Sep 2022,R3_M20_6576A,0.08189714
244,Fri 16 Sep 2022,R4_M2_8545A,0.20862915
245,Fri 16 Sep 2022,R4_M2_8565A,0.21146101
246,Fri 17 Jun 2022,R1_M20_6468A,0.3103073
247,Fri 17 Jun 2022,R1_M20_6477A,0.16009742
248,Fri 17 Jun 2022,R2_A2_8362A,0.1822474
249,Fri 17 Jun 2022,R2_A2_8380A,0.31750154
250,Fri 17 Jun 2022,R2_M2_8431J,0.07018311
251,Fri 17 Jun 2022,R3_5889_1,0.043523386
252,Fri 17 Jun 2022,R4_M2_8545A,0.12210637
253,Fri 17 Jun 2022,R4_M2_8565A,0.12757659
254,Fri 18 Feb 2022,R1_M20_6468A,0.09117901
255,Fri 18 Feb 2022,R1_M25_4094A,0.2941257
256,Fri 18 Feb 2022,R2_A2_8362A,0.13900667
257,Fri 18 Feb 2022,R2_A2_8380A,0.103618145
258,Fri 18 Feb 2022,R3_5889_1,0.13576421
259,Fri 18 Feb 2022,R3_M20_6576A,0.07275745
260,Fri 18 Feb 2022,R4_M2_8545A,0.07156749
261,Fri 18 Feb 2022,R4_M2_8565A,0.06663449
262,Fri 18 Mar 2022,R1_M20_6468A,0.058152318
263,Fri 18 Mar 2022,R1_M20_6477A,0.06195526
264,Fri 18 Mar 2022,R1_M25_4094A,0.17804289
265,Fri 18 Mar 2022,R2_A2_8362A,0.14240068
266,Fri 18 Mar 2022,R2_A2_8380A,0.12461305
267,Fri 18 Mar 2022,R2_M2_8431J,0.06546423
268,Fri 18 Mar 2022,R3_5889_1,0.034127653
269,Fri 18 Mar 2022,R3_M20_6576A,0.08111739
270,Fri 18 Mar 2022,R4_M2_8545A,0.07479918
271,Fri 18 Mar 2022,R4_M2_8565A,0.06693341
272,Fri 18 Nov 2022,R1_M20_6468A,0.113844156
273,Fri 18 Nov 2022,R1_M20_6477A,0.11641246
274,Fri 18 Nov 2022,R1_M25_4094A,0.1166693
275,Fri 18 Nov 2022,R3_5889_1,0.024240673
276,Fri 18 Nov 2022,R3_M20_6576A,0.08048293
277,Fri 18 Nov 2022,R4_M2_8545A,0.044171035
278,Fri 19 Aug 2022,R1_M20_6468A,0.09853941
279,Fri 19 Aug 2022,R1_M20_6477A,0.1368109
280,Fri 19 Aug 2022,R1_M25_4094A,0.17274904
281,Fri 19 Aug 2022,R2_A2_8362A,0.08468336
282,Fri 19 Aug 2022,R2_A2_8380A,0.071474016
283,Fri 19 Aug 2022,R2_M2_8431J,0.055767268
284,Fri 19 Aug 2022,R3_5889_1,0.040241964
285,Fri 19 Aug 2022,R3_M20_6576A,0.2926908
286,Fri 19 Aug 2022,R4_M2_8545A,0.08096573
287,Fri 19 Aug 2022,R4_M2_8565A,0.08962932
288,Fri 20 May 2022,R1_M20_6468A,0.12204504
289,Fri 20 May 2022,R1_M20_6477A,0.13158017
290,Fri 20 May 2022,R1_M25_4094A,0.2011736
291,Fri 20 May 2022,R2_A2_8362A,0.18713123
292,Fri 20 May 2022,R2_A2_8380A,0.1828326
293,Fri 20 May 2022,R2_M2_8431J,0.053184837
294,Fri 20 May 2022,R3_5889_1,0.03842193
295,Fri 20 May 2022,R3_M20_6576A,0.13758376
296,Fri 20 May 2022,R4_M2_8545A,0.08303529
297,Fri 20 May 2022,R4_M2_8565A,0.09338331
298,Fri 21 Jan 2022,R1_M20_6468A,0.063654214
299,Fri 21 Jan 2022,R1_M20_6477A,0.061027646
300,Fri 21 Jan 2022,R1_M25_4094A,0.1134969
301,Fri 21 Jan 2022,R2_A2_8362A,0.07230836
302,Fri 21 Jan 2022,R2_A2_8380A,0.06574771
303,Fri 21 Jan 2022,R2_M2_8431J,0.03391114
304,Fri 21 Jan 2022,R3_5889_1,0.02504351
305,Fri 21 Jan 2022,R3_M20_6576A,0.082654014
306,Fri 21 Jan 2022,R4_M2_8545A,0.04926926
307,Fri 21 Jan 2022,R4_M2_8565A,0.044970617
308,Fri 21 Oct 2022,R1_M20_6468A,0.06912455
309,Fri 21 Oct 2022,R1_M20_6477A,0.07184702
310,Fri 21 Oct 2022,R2_M2_8431J,0.05205152
311,Fri 21 Oct 2022,R3_5889_1,0.02522777
312,Fri 21 Oct 2022,R3_M20_6576A,0.096714616
313,Fri 21 Oct 2022,R4_M2_8545A,0.08268967
314,Fri 22 Apr 2022,R1_M20_6468A,0.09079242
315,Fri 22 Apr 2022,R1_M20_6477A,0.087055326
316,Fri 22 Apr 2022,R1_M25_4094A,0.110259235
317,Fri 22 Apr 2022,R2_A2_8362A,0.06478727
318,Fri 22 Apr 2022,R2_A2_8380A,0.07757324
319,Fri 22 Apr 2022,R2_M2_8431J,0.050854564
320,Fri 22 Apr 2022,R3_5889_1,0.024455078
321,Fri 22 Apr 2022,R3_M20_6576A,0.14904696
322,Fri 22 Apr 2022,R4_M2_8545A,0.044116184
323,Fri 22 Apr 2022,R4_M2_8565A,0.042050898
324,Fri 22 Jul 2022,R1_M20_6468A,0.09981626
325,Fri 22 Jul 2022,R1_M20_6477A,0.08752406
326,Fri 22 Jul 2022,R1_M25_4094A,0.22253698
327,Fri 22 Jul 2022,R2_A2_8362A,0.21758443
328,Fri 22 Jul 2022,R2_A2_8380A,0.19154
329,Fri 22 Jul 2022,R2_M2_8431J,0.06376307
330,Fri 22 Jul 2022,R3_5889_1,0.102189645
331,Fri 22 Jul 2022,R3_M20_6576A,0.16429108
332,Fri 22 Jul 2022,R4_M2_8545A,0.068158954
333,Fri 22 Jul 2022,R4_M2_8565A,0.13427567
334,Fri 23 Dec 2022,R1_M20_6468A,0.14939928
335,Fri 23 Dec 2022,R1_M20_6477A,0.20170838
336,Fri 23 Dec 2022,R1_M25_4094A,0.35945266
337,Fri 23 Dec 2022,R2_M2_8431J,0.08099203
338,Fri 23 Dec 2022,R3_5889_1,0.029326722
339,Fri 23 Dec 2022,R3_M20_6576A,0.12658662
340,Fri 23 Dec 2022,R4_M2_8545A,0.10488334
341,Fri 23 Dec 2022,R4_M2_8565A,0.1085591
342,Fri 23 Sep 2022,R1_M20_6468A,0.08691949
343,Fri 23 Sep 2022,R1_M20_6477A,0.09693879
344,Fri 23 Sep 2022,R1_M25_4094A,0.10184282
345,Fri 23 Sep 2022,R2_M2_8431J,0.03455703
346,Fri 23 Sep 2022,R3_5889_1,0.048751622
347,Fri 23 Sep 2022,R3_M20_6576A,0.06604189
348,Fri 23 Sep 2022,R4_M2_8545A,0.06979552
349,Fri 23 Sep 2022,R4_M2_8565A,0.08042234
350,Fri 24 Jun 2022,R1_M20_6468A,0.12912804
351,Fri 24 Jun 2022,R1_M20_6477A,0.23798084
352,Fri 24 Jun 2022,R1_M25_4094A,0.13886529
353,Fri 24 Jun 2022,R2_A2_8362A,0.16111475
354,Fri 24 Jun 2022,R2_A2_8380A,0.15283543
355,Fri 24 Jun 2022,R2_M2_8431J,0.044856027
356,Fri 24 Jun 2022,R3_5889_1,0.04005733
357,Fri 24 Jun 2022,R3_M20_6576A,0.23624367
358,Fri 24 Jun 2022,R4_M2_8545A,0.05349639
359,Fri 24 Jun 2022,R4_M2_8565A,0.056069076
360,Fri 25 Feb 2022,R1_M20_6468A,0.083553284
361,Fri 25 Feb 2022,R1_M20_6477A,0.073553145
362,Fri 25 Feb 2022,R1_M25_4094A,0.09011328
363,Fri 25 Feb 2022,R2_A2_8362A,0.078035176
364,Fri 25 Feb 2022,R2_A2_8380A,0.08872113
365,Fri 25 Feb 2022,R2_M2_8431J,0.06305274
366,Fri 25 Feb 2022,R3_5889_1,0.020251302
367,Fri 25 Feb 2022,R3_M20_6576A,0.054262757
368,Fri 25 Feb 2022,R4_M2_8545A,0.042168915
369,Fri 25 Feb 2022,R4_M2_8565A,0.046999693
370,Fri 25 Mar 2022,R1_M20_6468A,0.13102281
371,Fri 25 Mar 2022,R1_M20_6477A,0.1094127
372,Fri 25 Mar 2022,R1_M25_4094A,0.116984785
373,Fri 25 Mar 2022,R2_A2_8362A,0.14662534
374,Fri 25 Mar 2022,R2_A2_8380A,0.12415004
375,Fri 25 Mar 2022,R2_M2_8431J,0.17604342
376,Fri 25 Mar 2022,R3_5889_1,0.04969179
377,Fri 25 Mar 2022,R3_M20_6576A,0.11479801
